T_Set,Thermostate_Switch,T_Room
19,1,18.9425
19,1,18.9726
19,1,19.0028
19,1,19.0331
19,1,19.0634
19,1,19.0938
19,1,19.1242
19,1,19.1547
19,1,19.1851
19,1,19.2155
19,1,19.2458
19,1,19.276
19,1,19.3062
19,1,19.3363
19,1,19.3664
19,1,19.3963
19,1,19.4261
19,1,19.4557
19,1,19.4853
19,1,19.5147
19,0,19.544
19,0,19.5725
19,0,19.6002
19,0,19.627
19,0,19.6532
19,0,19.6785
19,0,19.7031
19,0,19.727
19,0,19.7502
19,0,19.7726
19,0,19.7943
19,0,19.8153
19,0,19.8357
19,0,19.8553
19,0,19.8743
19,0,19.8926
19,0,19.9103
19,0,19.9273
19,0,19.9437
19,0,19.9595
19,0,19.9747
19,0,19.9893
19,0,20.0033
19,0,20.0166
19,0,20.0295
19,0,20.0417
19,0,20.0534
19,0,20.0645
19,0,20.0751
19,0,20.0852
19,0,20.0947
19,0,20.1038
19,0,20.1123
19,0,20.1203
19,0,20.1278
19,0,20.1348
19,0,20.1413
19,0,20.1474
19,0,20.153
19,0,20.1581
19,0,20.1628
19,0,20.167
19,0,20.1708
19,0,20.1741
19,0,20.1771
19,0,20.1796
19,0,20.1817
19,0,20.1834
19,0,20.1847
19,0,20.1855
19,0,20.1861
19,0,20.1862
19,0,20.1859
19,0,20.1853
19,0,20.1843
19,0,20.1829
19,0,20.1812
19,0,20.1792
19,0,20.1768
19,0,20.174
19,0,20.171
19,0,20.1676
19,0,20.1639
19,0,20.1598
19,0,20.1555
19,0,20.1508
19,0,20.1458
19,0,20.1406
19,0,20.135
19,0,20.1292
19,0,20.1231
19,0,20.1167
19,0,20.11
19,0,20.103
19,0,20.0958
19,0,20.0884
19,0,20.0806
19,0,20.0726
19,0,20.0644
19,0,20.0559
19,0,20.0472
19,0,20.0382
19,0,20.029
19,0,20.0196
19,0,20.01
19,0,20.0001
19,0,19.99
19,0,19.9797
19,0,19.9692
19,0,19.9585
19,0,19.9475
19,0,19.9364
19,0,19.9251
19,0,19.9136
19,0,19.9019
19,0,19.89
19,0,19.8779
19,0,19.8656
19,0,19.8532
19,0,19.8406
19,0,19.8278
19,0,19.8149
19,0,19.8017
19,0,19.7885
19,0,19.775
19,0,19.7614
19,0,19.7477
19,0,19.7338
19,0,19.7197
19,0,19.7055
19,0,19.6912
19,0,19.6767
19,0,19.6621
19,0,19.6473
19,0,19.6325
19,0,19.6174
19,0,19.6023
19,0,19.587
19,0,19.5716
19,0,19.5561
19,0,19.5405
19,0,19.5247
19,0,19.5089
19,0,19.4929
19,0,19.4768
19,0,19.4606
19,0,19.4443
19,0,19.4279
19,0,19.4114
19,0,19.3948
19,0,19.3781
19,0,19.3613
19,0,19.3444
19,0,19.3274
19,0,19.3104
19,0,19.2932
19,0,19.276
19,0,19.2586
19,0,19.2412
19,0,19.2237
19,0,19.2062
19,0,19.1885
19,0,19.1708
19,0,19.153
19,0,19.1351
19,0,19.1172
19,0,19.0992
